Item,QTY,Link,
ESig Cartridges,1,https://www.vapingzone.com/kangertech-t2-ego-clearomizer-single-pc.html,
Fog juice,1,https://www.amazon.com/FogWorx-Extreme-High-Density-Juice/dp/B0777S56RB/ref=sr_1_5?dchild=1&keywords=fog+juice&qid=1593553743&sr=8-5,
18650 Batteries W/Charger,1,https://www.walmart.com/ip/EBL-4-Pack-3000mAh-3-7V-Rechargeable-Batteries-Battery-Charger-for-Li-ion-18650-18500-14500-Replacement-Battery/148568497,
Wire,1,https://www.amazon.com/Electrical-Flexible-Silicone-different-automotive/dp/B07G744V5Z/ref=sr_1_5?dchild=1&keywords=wire&qid=1593557372&sr=8-5,
Shrink Tube,1,https://www.amazon.com/650pcs-Shrink-Tubing-innhom-Approved/dp/B07WWWPR2X/ref=sr_1_8?dchild=1&keywords=shrink+tubing&qid=1593557287&sr=8-8,
Fets,2,https://www.digikey.com/product-detail/en/infineon-technologies/IRLU8743PBF/IRLU8743PBF-ND/1894174,
Resistors (10K),2,https://www.digikey.com/product-detail/en/stackpole-electronics-inc/CF14JT10K0/CF14JT10K0CT-ND/1830374,
Diodes,1,https://www.digikey.com/product-detail/en/vishay-semiconductor-diodes-division/P600M-E3-54/P600M-E3-54GICT-ND/3025895,
Arduino Mini Pro 5V 16MHz,1,https://www.sparkfun.com/products/11113,
USB FTDI Breakout,1,https://www.sparkfun.com/products/9716,
